x,y
116,6458
2197,16678
1222,15174
353,7936
2377,23148
2013,19178
2961,26802
2592,26116
2240,23424
1350,16287
1297,11519
2875,22487
315,9786
1076,15076
1957,20273
342,8954
574,11886
1844,16309
533,11261
2,7336
2722,25914
609,10877
1758,15930
2404,22143
729,10347
241,7218
388,9437
1644,13533
1283,14473
942,14440
2552,25334
2545,25790
671,8378
2445,17696
2895,26082
2137,21077
1022,11583
1372,15026
1516,16437
275,7202
2657,23717
2562,20128
1611,13573
2517,22589
872,10150
2699,19161
1938,17237
1008,12005
2613,22528
2570,24187
2363,19634
369,8575
953,13086
2214,16375
1385,17481
373,8131
919,11886
2184,18513
2464,19910
1959,20311
1185,13938
547,9109
1345,15370
1991,17272
1399,12825
2101,19540
1784,16790
1714,16027
2590,19552
2387,20056
1507,15468
1030,12759
488,8720
2409,22258
1453,18025
2137,20694
2768,24843
2855,20911
1053,11498
2537,21513
1653,16582
1811,18453
78,6492
2670,25444
259,9206
845,12137
172,8541
1173,16157
1740,14916
247,8624
2905,19578
872,11670
2918,23206
334,8515
1387,14924
213,7981
510,9748
109,8648
2165,23072
804,12004
1168,13470
2777,24267
263,7059
2882,20739
557,11737
1771,17239
2152,18144
1737,19899
2052,16412
299,8992
1882,18549
350,9684
2366,19225
1509,16034
461,7658
348,9210
302,8186
1753,15694
1779,15849
334,8355
744,11037
381,8569
1105,13937
2172,20263
753,10891
1836,20850
241,7933
291,8010
2627,24902
1926,20335
1209,12697
1914,18875
1159,13409
1935,16410
2147,18485
2910,27337
2117,18900
2233,19981
995,13231
74,6490
2597,19495
1157,14861
356,9124
2579,18535
1084,15379
320,10021
2452,22738
1099,15320
683,10080
2622,23485
1591,16481
1895,18954
955,14061
552,9670
1149,14430
2459,24944
457,10618
2409,19531
1802,17121
1874,16044
1722,18354
885,12197
1748,17013
573,9668
650,12325
1816,16476
1188,13998
495,9110
143,7163
1334,16101
2659,23723
2319,22437
503,9341
2730,19997
1648,13774
1288,12914
2387,22359
576,8337
2690,26366
1396,16210
1274,12465
2180,20743
2481,20231
2602,21593
597,11365
494,9658
1046,12568
1133,12836
1345,17092
1366,13437
1825,17983
1622,15901
1655,15293
273,7832
1984,17913
2169,16784
2189,20717
2407,23058
1898,18730
2327,20814
1265,12468
2302,21897
779,11484
190,7666
1072,13110
2365,21830
2416,22217
2094,20221
885,13758
1294,13191
1358,15627
613,9613
1357,13763
1091,14504
739,9943
1071,11647
931,12114
2891,22768
1962,16271
1948,15935
2613,20257
439,8300
1661,17003
2155,21780
1869,16452
2128,20886
1677,15220
46,5648
152,8585
2619,23507
2266,17661
36,5728
1344,11891
1830,16272
1526,17014
1115,10918
2705,22632
287,8415
771,11506
967,13266
2897,24573
79,7484
386,7263
1370,12713
602,8966
2645,23803
2186,20286
1095,12898
2612,19306
2585,24907
570,10421
1725,17781
1174,12532
2436,18184
1369,14691
2281,18779
2201,17634
879,11274
256,7238
524,9094
1608,13452
1572,15010
1172,16203
1166,12090
2761,20453
2254,20032
934,10893
1854,18314
1426,16344
2672,24866
510,10717
2259,19299
2010,16103
476,8678
1645,19384
2410,22272
97,8563
323,9093
2300,19183
1113,15085
1196,13781
2649,21133
513,8440
1685,17974
984,10709
2069,15930
2593,23811
817,12455
2302,19398
868,10665
977,13320
894,14188
2808,22747
1968,16098
172,6348
882,11092
2297,19162
2857,21743
730,11230
2719,25319
1758,16454
1715,16146
739,11432
1764,17094
559,8678
1812,20071
2147,17019
1402,15496
2960,27781
363,8324
44,7224
1000,11566
1202,12221
1260,14115
558,10036
1795,17752
2717,23530
885,12009
1463,14157
1386,15869
600,11144
1184,13475
2009,19727
2328,20480
2777,24599
1056,15178
697,8487
2705,21491
910,11628
2519,20675
2684,21753
2600,23257
507,9732
2439,23778
2253,17716
2370,22346
646,12381
2116,18238
510,10447
408,8347
896,14120
2771,19064
1552,14436
2916,24645
1585,17563
201,8734
735,11768
2477,22994
910,13464
1968,19387
28,6154
156,6823
1689,17383
1918,20439
2243,18446
1212,14194
2441,21403
909,10563
963,10208
2983,21557
2882,23576
2547,19958
2033,16781
2077,17022
2208,20916
2470,18105
1896,20503
39,7748
796,13102
1188,13499
1380,15402
2460,19837
1350,13226
395,8921
1697,14018
916,11313
2908,27289
910,10479
277,6960
280,8044
2104,15868
860,11575
512,8726
2766,24699
1271,13319
1078,15119
2596,21329
1548,18349
2049,17411
285,7486
1481,16891
455,9564
2442,23908
2647,23764
979,10102
1377,14808
536,9016
2666,25382
2486,23920
2301,18132
90,5971
2247,20363
1691,18858
2722,21514
2874,26248
1464,16128
903,10195
2475,23963
596,11310
655,10282
1440,15393
833,12157
2772,26169
1263,13808
1062,13678
2690,22365
97,8412
293,6826
1658,14184
210,8947
1414,12922
2122,22248
750,9646
2110,20257
2894,21572
1441,16974
2090,18290
790,9824
1774,18128
2621,20757
2782,24361
809,10078
522,10993
841,11057
2533,23090
95,6362
2487,22561
1288,13138
1389,15534
2406,19244
2090,17627
87,8052
2492,22722
2398,24026
2211,22783
1952,20598
2230,18572
249,8525
2367,21636
1173,14508
96,7774
2268,19541
286,8368
146,7003
1446,14707
697,10624
1613,16165
2851,22685
1549,16746
2972,21764
1730,14378
1358,17318
1505,15797
1177,13044
1295,16508
1553,14435
673,10459
913,10893
1696,16910
858,11142
2089,15550
2682,22323
2917,21919
1855,15470
951,9851
1081,12148
2783,19212
1610,18069
1943,18735
1791,19152
691,11702
1024,11304
1088,15358
2118,20483
1916,15665
1171,14874
275,8860
676,11882
261,9382
502,8083
2834,27661
2376,21223
1550,15204
2512,17726
1982,19800
1614,17921
993,13240
1532,16104
875,12211
2987,27254
2663,24411
2454,20963
96,7927
1183,12607
1287,13339
831,11694
2606,19101
1997,15543
1877,17939
1030,12459
104,8292
659,11180
339,7909
1085,10899
2070,17411
1733,14614
2792,21845
1351,15829
2472,25073
1804,17387
1021,13325
1236,13105
961,13960
1935,21201
1415,15374
2284,19019
2318,21043
293,7958
1954,17693
2181,20142
2264,18947
344,9404
630,10250
2810,23376
149,7299
2603,19034
2224,23434
2958,28687
756,9174
140,6237
2184,22995
1338,14502
33,7279
1690,19584
1689,17607
1067,12982
2573,23021
1913,17037
2443,24036
950,14646
260,7928
1265,16221
1438,12328
1842,14355
1861,17090
2721,22517
187,7520
919,9699
2168,21915
1163,12301
1172,14564
2919,25914
2255,17125
113,8272
162,8936
2830,24052
41,7118
1537,14520
2707,23726
173,7121
2599,21535
690,9140
2049,18662
53,6429
1671,15779
2957,27096
2722,25308
436,9379
86,8321
376,7509
986,10781
673,11110
2883,20976
978,14473
985,12931
41,5517
2470,22573
901,11326
1172,13843
1743,15375
2680,19351
1165,14451
1135,13602
2063,17647
1945,18128
2250,19581
1471,16771
2618,22126
2001,20316
192,8677
2480,24650
1742,18760
1685,16880
2952,24980
2577,24441
2394,24504
1715,13585
1237,15009
133,7257
2866,20751
163,6939
3000,24604
2352,19703
1973,15111
2792,24617
2822,22726
2782,26729
2541,22955
2093,16626
2546,25593
2533,23161
978,13232
1064,13300
1631,16525
1510,17066
2730,21613
1059,15130
2453,17460
2310,17224
1885,19452
530,9720
731,12478
1807,14691
2473,24438
1260,11703
1721,19740
208,9402
2904,27559
239,7819
327,7543
183,7207
2074,21549
1235,13960
888,13338
1506,16220
1611,15052
2212,20820
1389,15522
2377,23708
1987,18099
1293,14312
2579,19000
2966,21497
1282,15806
1058,13881
1775,14969
1062,13967
1989,16420
1032,13763
1202,14503
2218,20492
2506,17862
1716,15564
1382,14821
2979,24520
1355,14067
396,7237
1689,16426
1685,18524
2544,25425
2547,23239
1046,13232
2274,18838
1467,16434
618,9459
327,8816
2276,16798
2563,18437
1656,18487
347,9032
2989,28156
739,11287
2746,24213
2597,20811
2304,18316
837,12016
1937,17226
189,6878
2052,16120
2047,21443
1444,14442
2266,18931
103,6303
514,8844
2890,24546
2785,21028
1590,17205
973,12365
1930,16459
1104,15264
2658,21379
2305,18850
1668,16372
1617,13881
2785,27322
2789,20313
1867,14421
678,11500
2687,19889
568,10236
949,10886
891,12299
288,8446
1579,16192
476,7380
1235,13599
146,8760
1191,14265
2250,18327
1520,14131
142,6885
2900,21281
2350,18077
1675,16461
474,9476
779,11761
2370,19297
1955,21491
1700,14326
2314,21918
763,11586
1575,18955
2525,18608
2705,18752
2710,20298
1137,12090
204,7796
2915,21503
1495,14615
645,9171
2130,21675
901,12815
65,8066
2514,20406
1373,13659
1100,14508
1493,16840
513,10134
1865,14333
2805,27075
2486,20150
1862,17667
2528,20466
1787,16296
2028,15447
1265,16660
879,11605
2878,23362
2501,23056
1625,16652
2160,18470
2484,23706
1560,13122
1761,17743
2135,19999
2209,16437
674,10562
754,10563
1089,15303
239,8505
1738,19621
1052,12747
516,9213
2301,21872
1188,15095
2600,21801
2006,17617
1374,14198
418,9401
2142,21757
327,7558
2438,18022
125,8146
2789,24392
529,9633
2291,21514
1342,14693
1458,13651
287,9667
1249,14207
172,7051
1283,15692
2475,24905
506,8924
1883,14752
1563,15784
907,12910
520,9001
2215,21974
2041,16645
1469,15049
544,10546
928,10976
266,8287
721,9565
712,11377
1144,14221
114,6644
290,9616
1356,12732
1408,14568
965,10049
589,10873
2879,19418
1871,16137
1227,12769
539,10021
1828,16420
2603,20691
2514,20168
1068,13791
1194,15041
363,9133
2540,21629
2056,16875
1430,16043
1749,15851
2359,22723
2491,23062
2486,23502
2501,17755
2562,24095
2437,23575
288,8938
960,13225
827,11826
830,12356
201,8883
344,8579
1842,20303
1472,14621
315,8700
78,5787
2654,23428
2740,23578
1610,14311
2519,19948
1393,15491
388,6943
1046,13424
287,8077
353,9398
490,8868
1813,18324
752,9423
604,10611
2602,19888
1932,16117
1346,16727
2245,20955
2840,25176
1911,17350
787,11337
713,10989
790,12250
782,12237
1350,16303
1835,18372
1731,16298
2184,18359
1271,13081
1992,16843
613,9458
917,9689
2808,22383
1652,17370
1937,16531
1730,17483
545,10167
2969,21459
983,14652
2686,19225
2691,24415
471,8459
1718,16474
1841,16733
2309,18410
2972,24213
1053,14918
2595,21395
2323,23990
360,8950
1933,17324
212,6824
2750,24232
964,12773
2394,22844
464,7553
1539,13414
1742,15595
2881,27766
1589,17329
1626,18013
1760,14322
2251,22204
914,11158
2188,18396
1953,16218
2382,18588
402,8822
867,10993
1531,13955
747,8856
2242,20741
1061,14470
88,7208
1338,15893
1087,12304
2845,24622
1441,15922
2809,21968
877,10354
1774,20103
771,10895
1494,15521
2010,16346
49,6563
1058,14393
749,11406
1950,17811
2853,25077
2690,26336
1484,13329
2316,22444
576,11376
1614,18041
1793,16539
1503,12932
2758,20113
1367,13287
986,12192
1747,19742
17,8007
2695,24829
2082,22306
2486,17545
944,12462
1976,20428
1451,13491
476,7818
1702,15208
2041,16232
2633,23694
119,5687
359,7158
879,11977
800,10372
2506,21746
2514,24182
1975,16177
2313,19184
1519,13168
194,8442
536,10312
74,7982
260,9035
507,8533
106,7215
1702,17808
2934,19898
2956,28628
2367,23762
2762,26651
79,6957
577,10230
2115,20759
2527,20458
562,11834
1349,14732
2031,17781
2154,17685
442,9863
1464,14765
217,8772
2121,22385
468,11146
1689,15913
1319,15055
2356,24000
1142,15394
2965,21650
2134,16607
2540,22489
889,12494
1460,13030
336,7764
1349,17384
1041,12339
1665,15160
1317,12550
519,9350
540,8720
2877,22370
2101,19604
2412,20166
2723,26579
2426,22012
2134,21420
375,9296
922,12840
22,7937
661,10838
801,12103
369,8513
1762,15885
1040,10705
81,6976
2112,22381
501,9949
2327,20261
2680,21851
514,9788
2951,27380
1327,15658
1464,16550
2517,20883
154,6097
621,10279
2805,25360
1004,13785
1098,11704
298,7898
2331,22361
2698,19686
447,10473
1270,16373
884,12159
2036,17826
818,11146
43,6847
221,6867
877,11751
1117,12427
872,10318
863,10507
1916,20646
2790,19849
797,10719
1535,16148
2533,18913
1798,17991
363,7205
1020,10878
2232,16335
1917,16793
1523,18239
2311,17964
721,10188
1176,13685
188,8101
1023,13925
369,8863
389,8766
558,10739
2591,25013
1231,12719
208,7178
1594,14371
1687,17915
2059,17552
303,7731
1348,16810
1992,19744
256,9725
2809,23774
916,13675
2852,21520
1307,15518
837,12982
1976,20184
419,8202
498,10249
1333,13188
1858,16020
1324,12722
2448,20816
1096,12217
2824,26377
2545,19482
1654,15197
1205,12461
165,8727
1373,13771
1161,13097
1630,16643
2662,25334
2010,18262
2489,25141
2358,18704
567,8435
2292,23182
2577,20688
2865,26329
736,9545
1442,13170
809,12488
528,9054
180,8236
2898,21723
865,11624
446,9778
1266,12443
327,8328
29,7499
2676,20146
2326,19394
1735,18099
287,9857
2989,24736
662,9614
462,8405
194,8470
2828,24522
1007,11828
198,7605
2546,25769
889,12260
883,11695
549,9132
494,10280
930,14237
1672,15826
1300,13038
1975,16481
159,8775
231,8774
793,9228
1726,16683
1795,18076
2928,20142
2860,24416
1168,16141
2016,17585
72,5780
1184,14466
2357,19399
298,9366
541,10422
1853,17149
1224,15149
2446,24410
2980,27239
281,9131
1424,16368
1413,16271
2236,18911
35,6616
1011,11437
2148,22682
2795,26316
1695,14403
2632,20779
766,11297
1086,12747
389,8889
2772,26487
1248,12541
2023,18190
1210,13631
848,11466
973,11940
1723,14232
2380,23498
959,13974
892,11706
1536,18133
2242,20798
2293,18721
71,6019
1423,14498
2334,20856
2082,21608
636,10026
228,8195
2500,25473
630,11073
2550,25706
863,13181
528,10422
977,14146
2325,18449
1953,18814
862,9912
1632,14380
41,5409
1000,11010
1986,17373
2012,15162
2522,20572
1380,16186
2020,18043
2697,21058
1559,16522
2225,18905
800,10048
2628,18835
2959,26548
522,10460
825,10810
443,9710
2483,22863
2433,22413
1100,11919
1618,14928
1631,13537
1731,19047
462,9426
1241,14725
2784,19269
1606,14576
2683,19457
756,10021
974,12769
1008,13587
981,10380
1995,18997
113,8273
192,6392
2661,23686
672,12025
2811,20156
2844,27381
1628,15250
1851,17959
327,9466
2159,18473
2503,24667
184,8446
2145,18391
2706,22297
1428,14979
1803,16657
1855,20553
2210,21911
933,11853
1533,15420
1899,16652
841,11940
1744,16924
1107,12324
1438,12540
970,11842
173,8076
1086,13516
1857,18092
824,12972
2099,21421
666,11239
578,9789
1884,16106
1797,14025
876,10004
2988,20549
399,7960
294,7238
2833,24753
2099,18147
2024,17322
1228,14581
1771,14926
502,10368
227,8473
768,10799
103,7123
2368,22888
888,12739
682,11678
1217,12666
1407,13777
2437,18220
2742,26078
1039,14856
40,8105
2443,19826
1498,17388
1002,11944
1150,15091
927,10829
141,7380
25,7888
218,9091
772,11859
2604,23475
476,8541
920,12605
2128,21112
2141,20452
1854,20320
1012,11590
2592,18507
130,6063
1531,12732
207,7769
206,8535
1530,15207
957,11992
2880,23437
1945,19005
2826,24165
2773,22882
2964,22908
1679,18296
422,8809
1205,12259
12,6529
2914,25933
982,12264
1059,14270
1692,15486
1640,17548
2890,19512
1888,16901
379,9736
1115,13397
2276,19886
2282,20932
1824,18574
1225,14778
1003,11317
1899,16503
353,7971
537,9618
1660,14812
2848,19414
1710,17030
701,11626
1051,10525
232,7206
231,7019
683,11110
1435,15339
1591,13961
876,12060
